rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
1,2024-11-10T07:41:44.880Z,Il n’a pas admissible qu’une grosse chaîne de cinéma comme UGC ne propose pas de tarif réduit aux seniors et aux chômeurs dans son cinéma des Halles.,0,anne degroux,2,0,UGC Ciné Cité Les Halles,fr
4,2024-11-09T10:32:32.722Z,"Pratique, plein de salles et bonne programmation.
Mais il fait 50 000 degrés dans ce cinéma !!",0,Géraldine Sauvenay,3,0,UGC Ciné Cité Les Halles,fr
3,2024-11-09T08:45:17.039Z,"Nettoyez vos écrans, ça commence à se voir !",0,M G,2,0,UGC Ciné Cité Les Halles,fr
1,2024-11-08T20:13:38.816Z,The theater still has a bed bug problem. Sat during the show feeling something crawling on me but just thought it was because of the scary movie and I found a bug on me. Everything else in the cinema was fine but I won’t go back.,0,Cordelia Ryan,2,1,UGC Ciné Cité Les Halles,fr
1,2024-11-08T15:32:14.074Z,VOLUME beaucoup trop fort mon dieu!! On était plusieurs salle 6 à se boucher les oreilles ! J’ai eu des acouphènes toute la journée le lendemain!!,0,Spei,83,0,UGC Ciné Cité Les Halles,fr
1,2023-03-11T21:29:22.001Z,Le personnel du cinéma est exécrable…,0,Gaëlle Soatina,300,356,UGC Ciné Cité Les Halles,fr
2,2024-11-04T15:49:12.406Z,"Des fauteuils confortables dans la moyenne, rien d'extraordinaire.
Les toilettes du théâtre ne sont pas disponibles en sortant des locaux.
Toilettes publiques du Forum indisponibles.
Très désagréable après 1h45 de spectacle avec des enfants !

Average, comfortable chairs, nothing extraordinary.
The theatre's toilets are not available when exiting the premises.
Public toilets of the Forum unavailable.
Very unpleasant after 1h45 of show with children!",0,Gilles R. (“Gilles13008”),86,8,UGC Ciné Cité Les Halles,fr
3,2024-11-04T13:31:04.679Z,,0,Liticia Si Larbi,3,0,UGC Ciné Cité Les Halles,fr
5,2024-11-02T21:24:00.405Z,"Les salles sont bien grandes avec des sièges bien soins bien quali. Après, évitez les premiers dates au ciné parce que, à moins que vous alliez dans les places au fond ou ça baise, vous ne pouvez pas parler et du coup c’est bien gênant. Donc à éviter. Sinon poulet.
Robert Downey Jr./10",0,LaCastelarno,7,0,UGC Ciné Cité Les Halles,fr
5,2024-11-02T10:17:21.000Z,"Salles rénovées, grand choix d’horaires et de films. Super place.",0,Marc Boilard,85,14,UGC Ciné Cité Les Halles,fr
5,2024-11-01T10:50:23.678Z,"Je ne saurais que vanter les louanges de ce cinéma que j’affectionne depuis 20 ans. Je m’y rends très régulièrement et je n’ai jamais eu un seul soucis ni avec le personnel ni dans les choix de film. Au jour, j’ai eu des soucis pour me connecter à mon espace et le jeune homme m’a imprimé mon ticket en voyant ma bonne foi. Je n’ai rien à redire. Il est vrai qu’on voit quelque fois des souris dans les salles mais on en voit partout à Paris et là pour la quantité de monde y passant c’est plutôt propre. Pour moi ce cinéma est mon passé et mon présent",0,Learning with board games,50,31,UGC Ciné Cité Les Halles,fr
4,2024-10-31T16:48:04.531Z,,0,Marie,23,0,UGC Ciné Cité Les Halles,fr
5,2024-10-30T21:17:52.799Z,des grandes et belles salles !,0,Téophila D-T,17,22,UGC Ciné Cité Les Halles,fr
1,2024-10-30T10:11:51.379Z,franchement je vous conseille de ne pas y aller parce que le personnel est super méchant et aigri. Ça donne pas envie d’y aller …,0,Lisa Rose,1,0,UGC Ciné Cité Les Halles,fr
1,2024-10-28T15:02:56.956Z,"Film annoncé en VF diffusé en vo. Après avoir discuté entre eux, le personnel a consenti à nous répondre ""ben oui on sait fallait lire les sous titres"".",0,Mimi 93,13,0,UGC Ciné Cité Les Halles,fr
1,2024-10-28T11:29:13.932Z,Punaises de lit dimanche 27 octobre 2024,0,Amine,2,0,UGC Ciné Cité Les Halles,fr
5,2024-10-27T23:33:07.990Z,"Très bon cinéma que je fréquente régulièrement depuis des années. Choix nombreux, grandes salles et maintenant un food court pour déjeuner, goûter ou dîner.
J’ai pris une carte de 5 séances ce qui fait gagner de l’argent et vaut le coup.
Je recommande vivement. Au cœur de Paris, très pratique.",0,Katia Bougchiche,343,109,UGC Ciné Cité Les Halles,fr
4,2024-10-27T06:28:17.743Z,,0,Sequard Emilie,7,1,UGC Ciné Cité Les Halles,fr
4,2024-10-26T15:28:28.521Z,"J'y vais souvent car j'ai la carte UGC... Il y a beaucoup de salles et il est au centre de Paris.
Dommage que ce grand cinéma ne propose pas de films étrangers en VF !
Pour ma part je suis dyslexique donc j'ai des difficultés à lire et les sous-titres sont de plus en plus rapide.",0,E s,254,1234,UGC Ciné Cité Les Halles,fr
5,2024-10-26T12:57:38.015Z,,0,Mohamed Diarra,53,210,UGC Ciné Cité Les Halles,fr
1,2024-10-25T16:37:51.348Z,J’ai été voir Monsieur AZNAVOUR Attention il y a des souris dans la salle  de Ugc Les Halles salle  N2 ce vendredi 25 octobre .,1,Sand.,10,0,UGC Ciné Cité Les Halles,fr
5,2024-10-25T17:23:45.287Z,Excellent cinema 🤩,0,Gill Windsor,4,0,UGC Ciné Cité Les Halles,fr
3,2016-11-08T17:18:31.224Z,Trop grand et trop de Monde.,0,Joseph Geffroy,503,1539,UGC Ciné Cité Les Halles,fr
4,2024-10-25T14:53:37.814Z,,0,Fatimata Diop,0,0,UGC Ciné Cité Les Halles,fr
4,2024-10-25T11:47:25.532Z,,0,cedric Giausseran,4,0,UGC Ciné Cité Les Halles,fr
5,2024-10-25T08:51:53.151Z,,0,Lune,3,0,UGC Ciné Cité Les Halles,fr
