rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
4,2024-11-11T09:41:27.103Z,,0,Frédéric BILLERACH,7,0,UGC cité Rosny,fr
1,2018-09-08T11:01:48.605Z,"Je n'ai pas pour habitude d'utiliser les avis de Google pour décrier les lieux, préfère habituellement féliciter les meilleurs adresses. Il n'y a qu'à jeter un œil sur mes avis. Mais là, ça dépasse les bornes.
Les toilettes sont dégeulasses, puantes. C'est inadmissible.
C'est un cinéma familial. Comment font les enfants ?
Le personnel est au courant, nous l'avons déjà alerté.
Je n'ai jamais vu un lieu aussi peu respectueux, aussi peu hygiénique.
UGC : réagissez !!!",4,Eric Cuziat,225,534,UGC cité Rosny,fr
5,2023-04-16T20:00:35.891Z,Très agréable cinéma,0,Pascal Boyenval,142,141,UGC cité Rosny,fr
4,2024-11-10T01:00:59.377Z,"Cinema agréable dans l'ensemble mieux agencé ces derniers temps avec implantation de distributeur de confiseries et boissons fraiches, salles de cinéma spacieuses, bien agencees dans l'ensemble, personnel sympathique et disponible.",0,franck llopis,8,8,UGC cité Rosny,fr
5,2024-11-09T22:12:20.111Z,Un accueil plus qu'agréable et merci pour votre gentilesse,0,Cristian DARDENNE,93,49,UGC cité Rosny,fr
5,2024-11-09T18:34:03.665Z,,0,Rhode Joffre,38,38,UGC cité Rosny,fr
1,2024-11-08T09:15:12.010Z,,0,Yvon Tertre,1,0,UGC cité Rosny,fr
4,2024-11-07T15:41:55.427Z,Kindly staff,0,PAMEE KARAN,20,5,UGC cité Rosny,fr
3,2024-11-05T20:00:08.139Z,"C'est un multiplex juste à côté du centre commercial de Rosny 2 et facile d'accès grâce à la ligne 11 du métro. L'accueil est correct,il y a des bornes pour acheter les places ce qui est bien pratique.La majorité des films sont diffusés en version Française. Les séances du midi sont assez calmes. Le problème vient du comportement de certains spectateurs durant la séance qui est assez irrespectueuse.C'est dommage car cela gâche la séance à cause de quelques individus.",0,Fabriceファブリッス,268,7220,UGC cité Rosny,fr
4,2024-11-05T14:43:18.297Z,,0,Xavier Sommier,24,0,UGC cité Rosny,fr
4,2024-11-04T20:57:12.386Z,,0,SYLVIE DAVIDKOFF,26,1,UGC cité Rosny,fr
5,2024-11-04T16:33:23.272Z,Très propre avec pleins de salles elle aussi propre avec des employés gentils et serviables,0,Killian,18,0,UGC cité Rosny,fr
5,2024-11-04T14:50:50.036Z,,0,mohamed haddad,0,13,UGC cité Rosny,fr
