rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
5,2024-11-09T20:39:48.661Z,"Idéalement placé, dans la zone commerciale. Des restaurants directement a l'intérieur du bâtiment abritant les salles de cinéma. Parfait",0,Alain,130,375,UGC Ciné Cité Atlantis,fr
5,2024-11-05T11:04:40.138Z,,0,Emilie CORROYER PIOLE,24,12,UGC Ciné Cité Atlantis,fr
4,2024-11-03T19:44:43.177Z,"Accessible, du choix surtout pour le vostfr, on ne jure que par lui. Salles confortables et propres",0,Lauryn Durand,49,84,UGC Ciné Cité Atlantis,fr
2,2024-11-03T16:28:09.810Z,"Beaucoup trop cher, lui préférer le ciné ville de st Sébastien, pratiquement 2 fois moins cher pour une prestation équivalente et une programmation de qualité !",0,olivier DUMAS,8,19,UGC Ciné Cité Atlantis,fr
5,2024-11-02T18:12:55.196Z,,0,francis dupuy,0,0,UGC Ciné Cité Atlantis,fr
2,2024-11-02T13:26:36.287Z,Siège pas très confortable siège qui grince,0,vincent cuma,62,1,UGC Ciné Cité Atlantis,fr
5,2024-10-30T22:00:27.054Z,Super salles,0,Marine T,14,0,UGC Ciné Cité Atlantis,fr
5,2024-10-29T10:23:33.662Z,"Toujours aussi bien, accueil et cinéma très propre .",0,Yoann le gal,6,0,UGC Ciné Cité Atlantis,fr
5,2024-10-27T17:48:51.880Z,,0,djt vg,9,11,UGC Ciné Cité Atlantis,fr
1,2024-10-27T16:02:13.628Z,"Fauteuils ULTRA INCONFORTABLES et vieillissants qui gâchent l'experience d'une séance.
Donc ciné à éviter, il y a un concurrent tout près",0,Marie TEX,90,77,UGC Ciné Cité Atlantis,fr
5,2024-10-27T14:55:36.463Z,"Un grand merci à Nicolas qui a su corriger notre erreur de réservation de film, sans aucun frais et avec gentillesse. Je recommande vivement !",0,Jérôme Paumier,1,0,UGC Ciné Cité Atlantis,fr
5,2024-10-21T02:39:01.380Z,,0,parpaillon julie,31,35,UGC Ciné Cité Atlantis,fr
3,2024-10-20T18:16:01.641Z,,0,Cyrille Gay,65,199,UGC Ciné Cité Atlantis,fr
1,2024-10-18T18:34:14.416Z,"Prix exorbitant
3€30 la petite bouteille d’eau !!!
Et je parle pas du prix des places !",0,Nicolas Bories,6,0,UGC Ciné Cité Atlantis,fr
4,2024-10-18T16:34:03.842Z,,0,Nelly Vincendeau,3,0,UGC Ciné Cité Atlantis,fr
5,2024-10-18T07:18:55.515Z,,0,samsudin rafiee,0,4,UGC Ciné Cité Atlantis,fr
5,2024-10-16T17:13:36.879Z,,0,Evelyne Boyer,23,4,UGC Ciné Cité Atlantis,fr
5,2021-07-01T07:01:17.929Z,"Spacieux, agréable et les salles très bien. Le confort y est appréciable",1,Lea Clarisse,187,1079,UGC Ciné Cité Atlantis,fr
5,2024-10-14T12:20:42.407Z,"Des salles spacieuses avec des assises comfortable. Le personnel est souriant et accueillant. Les prix restent raisonnables par rapport à d'autres cinémas de Nantes  même si cela reste cher. Pour les films en VOSTFR, les salles sont très souvent vides ce qui donne une expérience incroyable.",0,Cel ine,63,103,UGC Ciné Cité Atlantis,fr
4,2024-10-13T07:31:09.484Z,,0,PEDRO MORLA MIRALLES,12,805,UGC Ciné Cité Atlantis,fr
5,2024-10-12T21:38:46.221Z,,0,Mathieu Dominique,15,52,UGC Ciné Cité Atlantis,fr
3,2024-10-08T16:07:09.698Z,,0,Louis DELARCHE,22,2,UGC Ciné Cité Atlantis,fr
4,2024-10-08T08:30:22.101Z,,0,steve rodriguez,55,1,UGC Ciné Cité Atlantis,fr
4,2024-10-06T05:04:45.570Z,,0,Fede Keita,2,4,UGC Ciné Cité Atlantis,fr
1,2024-10-05T19:02:29.759Z,,0,Carine Eladari,20,9,UGC Ciné Cité Atlantis,fr
5,2024-10-02T21:24:40.680Z,,0,Armelle Normandie 61,106,97,UGC Ciné Cité Atlantis,fr
5,2024-10-01T23:26:22.360Z,"Abonnement semaine. Réservation s à l'avance, rarement de l'attente. Personnel professionnel.",0,Isa Isabelle,16,6,UGC Ciné Cité Atlantis,fr
2,2024-09-30T16:03:46.414Z,"Quartier glauque, cinéma peu accueillant.",0,Anne S,35,24,UGC Ciné Cité Atlantis,fr
5,2024-09-27T16:44:35.358Z,Belle séance,0,Camille Lapelerie,23,0,UGC Ciné Cité Atlantis,fr
3,2024-09-27T10:28:25.184Z,"Bonne idée de faire des séances avec de vieux films mais c'est abusé de faire payer le plein tarif. Je voulais venir voir le film ""Les autres"" mais payer 13 euros et quelques la place alors que le film date de 20 ans (et est dispo sur Netflix), ce n'est pas normal. Le gaumont-pathé fait ce genre de séance mais propose des tarifs moins cher (6 euros pour Interstellar par exemple).",0,Yohann Pontoizeau,6,0,UGC Ciné Cité Atlantis,fr
5,2024-09-18T20:32:05.918Z,"J'aime ce cinéma, l'accueil de son personnel et sa programmation. Je n'ai pas l'habitude de publier un avis mais quand je constate que certains sont basés sur le pop-corn, je me demande si je ne vais pas en publier un sur le site de la Sncf pour parler des eaux minérales 🙃",0,mel provost,8,0,UGC Ciné Cité Atlantis,fr
4,2024-09-18T14:24:46.986Z,,0,gloux herve,26,5,UGC Ciné Cité Atlantis,fr
2,2024-09-15T11:27:43.325Z,Sièges très inconfortables,0,G Gc,3,0,UGC Ciné Cité Atlantis,fr
1,2024-09-11T13:58:00.004Z,"Un cinéma toujours dans son jus depuis la création. Préférez les bornes sûrement plus agréables que le personnel. Et surtout appréciez le choix de la marque UGC incapable de proposer des séances en VF et préfère imposer du tout VOSTF(probablement par radinerie) même pour des Super productions.... Aussi n'attendez pas de réponse à vos mails ""ils s'en foutent totalement"" le client n'est pas la priorité !",0,mimy gaga,108,62,UGC Ciné Cité Atlantis,fr
5,2024-09-10T21:58:58.668Z,,0,Nano-Mang,9,5,UGC Ciné Cité Atlantis,fr
5,2024-09-10T20:36:50.958Z,"Belles salles
Équipe sympa",0,sonia roussel,54,83,UGC Ciné Cité Atlantis,fr
1,2020-08-11T09:52:28.222Z,"Très déçue par l'accueil ! Nous sommes arrivés en retard pour la séance. Nous avons demandé si le film avait commencé ou si c'était encore les pub.
La personne à l'accueil nous a répondu :
1/ qu'elle ne savait pas si le film avait commencé (Ah bon ? J'ai pourtant déjà été dans des ciné où la personne à l'accueil savait exactement dans combien de minutes le film serait lancé ou depuis quand il avait été lancé... Le personnel UGC n'aurait pas ce type d'information ?)
2/ qu'elle ne pouvait pas nous vendre de tickets maintenant que la séance avait commencé (alors qu'en essayant sur une borne automatique, on pouvait encore avoir des tickets !)
Nous étions les seuls clients dans la file d'attente. Cette personne aurait eu le ""temps"" de bien s'occuper de nous si elle l'avait voulu (ne serait-ce que nous expliquant que le film avait commencé depuis quelques minutes et qu'il valait mieux revenir pour une prochaine séance).
Et si elle n'avait réellement pas accès à l'information du début du film, alors UGC devrait investir dans de meilleures interfaces pour son personnel, c'est anormal de ne pas avoir accès à ces infos !",0,Sophie Roubin,62,21,UGC Ciné Cité Atlantis,fr
3,2024-09-09T18:24:48.505Z,"La programmation est tjs qualitative cependant privilégier les VOST sans possibilité de VF est dommage ex Trap quand on a des difficultés de lecture.
Dommage également que les salles, fauteuils en velour et moquettes soient si vieillissants et malodorants voire tachés.
Cinéphile, cela fait 25 ans que je vais dans ce cinéma, mais lui fait régulièrement des infidélités pour le plaisir de m'évader devant l'écran noir avec le confort et l'hygiène de nouveaux fauteuils et de revêtements neufs. Je n'ose même plus poser ma tête sur le dossier.
Pour conclure, titulaire d'une carte duo je déplore également le manque d'amabilité et d'écoute de la gestionnaire comptable qui a fait preuve de beaucoup d'autorité voire de mauvaise foi récitant son laïus sans accepter mon honnêteté suite à un refus de prélèvement dû a un dysfonctionnement de ma banque. Des frais ont été appliqués mais surtout aucun mail m'informant du problème, seul celui de relance me sommant de payer y c les frais.
Bref je suis déçue, je ne recommande plus...en attendant le coup de propre 🙏",0,Go Zak,141,5,UGC Ciné Cité Atlantis,fr
5,2024-09-07T06:57:03.305Z,Complexe multi-salles confortable et agréable malgré les travaux en cours actuellement.,0,Alain Beaumont,23,0,UGC Ciné Cité Atlantis,fr
4,2024-09-04T17:38:50.346Z,,0,Cannelle Mérian,75,103,UGC Ciné Cité Atlantis,fr
5,2024-09-04T09:41:33.745Z,"Nous aimons venir dans ce cinéma pour cette ambiance familiale, l’équipe est gentille, professionnelle et très sympathique. Je tiens à remercier la personne qui a offert à ma fille cette belle affiche tant attendu, mille merci, encore une fois, cela me conforte dans notre choix pour votre cinéma . À bientôt .",0,Violette virginie,8,7,UGC Ciné Cité Atlantis,fr
5,2024-08-31T20:44:12.951Z,,0,Mama Dou,26,1,UGC Ciné Cité Atlantis,fr
5,2024-08-26T12:50:22.244Z,,0,Mohamed MOUFID,13,6,UGC Ciné Cité Atlantis,fr
4,2024-08-25T19:32:54.472Z,,0,Jeannine Lebel,11,2,UGC Ciné Cité Atlantis,fr
3,2024-08-14T18:33:09.603Z,,0,Ke Ma (Noxalys),208,150,UGC Ciné Cité Atlantis,fr
5,2024-08-13T22:19:12.710Z,,0,Bertrand Croq,29,5,UGC Ciné Cité Atlantis,fr
4,2024-08-13T08:38:02.162Z,,0,Laurie MAUPU,19,1,UGC Ciné Cité Atlantis,fr
5,2024-08-07T17:44:41.211Z,,0,Georgette Roux,5,0,UGC Ciné Cité Atlantis,fr
4,2024-08-06T17:10:46.181Z,,0,SRB,5,79,UGC Ciné Cité Atlantis,fr
2,2024-08-06T14:11:56.979Z,"J’y suis aller avec deux enfant 4 et 5 ans 20 min de pub pour une séance enfant ça fais beaucoup ,
Dès pub limite pour un film dit a partir de 4 ans qui peuvent apeurer les enfants.",0,AUBERT Mégane,3,0,UGC Ciné Cité Atlantis,fr
4,2024-08-05T14:41:48.713Z,"Salles et sièges propres.
Très bonne expérience en famille.",0,Yohann Le Brech,52,0,UGC Ciné Cité Atlantis,fr
4,2024-08-04T19:15:43.979Z,Good to watch but Air conditioner is not good enough inside the hall,0,Jewel KARASHID,25,52,UGC Ciné Cité Atlantis,fr
4,2024-08-04T08:02:42.923Z,J'y vais voir des films.en famille. Bémol pour les fauteuils qui me font mal car je suis très grande,0,Ano Nymat,24,10,UGC Ciné Cité Atlantis,fr
1,2024-08-02T19:35:48.623Z,"Carte 5 places valable 3 ans (mais uniquement 60 jours quand tu lit le texte en police 6).
Mentalité de voleurs qui cherchent juste à arnaquer les gens puisque limiter la durée validité n'a aucun autre intérêt.

En dehors de ça le complexe est correct pour quelque chose qui n'a pas été rénové depuis 25 ans.",0,Erwan,42,2,UGC Ciné Cité Atlantis,fr
2,2024-08-01T16:37:12.186Z,très chaud,0,sayed badawy,260,733,UGC Ciné Cité Atlantis,fr
