rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
4,2024-11-10T19:36:04.847Z,"Cinéma sympa. Souvent les films, sont en version originale",0,eric hitter,141,350,UGC Gobelin,fr
4,2024-11-10T07:19:17.101Z,,0,thomas,48,12,UGC Gobelin,fr
4,2020-02-04T16:12:59.650Z,"Toujours aussi agréable.
Bon accueil du personnel.
Confort et propreté des salles.
Choix de nombreux films.",1,Pierre Eudo,73,108,UGC Gobelin,fr
5,2024-11-05T14:11:03.597Z,"Super ciné avec énormément de salle, beaucoup d’étages aussi, très agréable",0,Kelly,18,21,UGC Gobelin,fr
5,2024-10-29T11:26:16.926Z,"Le personnel est accueillant et agréable, les clients sont silencieux, ce qui permet de voir tranquillement des films sans être dérangé. Les salles sont propre j'adore ce ugc",0,F. B,9,0,UGC Gobelin,fr
5,2024-10-29T08:05:05.248Z,"De nombreuses salles, un personnel très sympathique, un cinéma avec une large offre de films, plus de 50 films vus et toujours un plaisir d'y retourner !",0,Claire Vervier,6,0,UGC Gobelin,fr
5,2024-10-28T12:42:16.110Z,,0,Stéphanie Garbin,24,18,UGC Gobelin,fr
5,2022-03-22T20:16:27.027Z,Parfait,0,Vincent Gitton,316,1263,UGC Gobelin,fr
4,2024-10-26T11:32:27.931Z,,0,Lune,3,0,UGC Gobelin,fr
5,2024-10-25T20:19:23.327Z,,0,Danièle Gillet,2,0,UGC Gobelin,fr
5,2024-10-23T09:31:05.085Z,,0,A C,47,34,UGC Gobelin,fr
5,2022-09-23T19:23:57.784Z,Le cinéma et d'une qualité exceptionnelle et j'y vai à peut près 10 fois par mois. Le personnel est très accueillant et souriant. Le système des réservations est génial.,1,Jean Vassoney,113,285,UGC Gobelin,fr
4,2024-10-21T05:07:26.360Z,,0,Patrick Le Gall,5,13,UGC Gobelin,fr
5,2024-10-20T20:49:51.872Z,"Cinema très agréable, bien rénové, salles confortables et personnel compétent.",0,stéphane Martiano,9,0,UGC Gobelin,fr
5,2023-09-24T22:34:11.737Z,"Après les travaux, le cinéma est bien aménagé, le personnel est accueillant et courtois
L'espace d'attente est bien aménagé, c'est un petit plus lorsqu'on est en avance pour le film. Par contre, le prix des séances comme partout dans les autres cinémas est très cher et ne permet pas au citoyen modeste de profiter souvent des films, même  le tarif jeune est
cher.",0,Anonyme,74,65,UGC Gobelin,fr
5,2024-10-20T16:38:41.689Z,,0,FRANCOIS GALLEGO,32,4,UGC Gobelin,fr
5,2019-12-01T07:24:39.228Z,Agréable,0,Roxane Réminiac,46,67,UGC Gobelin,fr
3,2024-10-17T21:07:43.777Z,La salle 3 est plutôt inconfortable. Je préfère nettement les salles en haut,0,Serge Guerrier,145,92,UGC Gobelin,fr
4,2024-10-16T20:40:19.019Z,,0,arij riabi,62,68,UGC Gobelin,fr
5,2024-10-14T14:10:06.592Z,,0,karla makdisi naoum,8,11,UGC Gobelin,fr
1,2024-10-12T22:09:05.211Z,"Nul !!!
Je voulais réserver en ligne et lors du paiement j'ai été débiter mais je n'ai jamais reçu mes billets !!!!!!!
Faites attention",0,Sidi Mohamed Lacene nacer,101,319,UGC Gobelin,fr
5,2024-10-12T19:48:14.449Z,,0,Laure Boisjoly,116,5,UGC Gobelin,fr
5,2024-10-08T15:29:17.156Z,,0,Emmanuella Lalanga,1,5,UGC Gobelin,fr
5,2021-09-12T13:51:20.300Z,"Cinéma de quartier , salle petite et familiale",0,Romain Pierron,273,514,UGC Gobelin,fr
1,2024-10-01T12:37:04.879Z,"Je suis extrêmement déçue par mon expérience dans ce cinéma. Dans les salles 1, 2 et 3 (au sous-sol), on entend clairement les bruits provenant de la salle de sport voisine (haltères qui tombent au sol ?). Il est impossible de se concentrer sur le film, cela casse complètement l'immersion.

C'est vraiment dommage, car les installations du cinéma semblent correctes. En l'état actuel des choses, je ne reviendrai pas tant que ce problème persistera (1 an au minimum que cela dure). Si vous cherchez à profiter d'un film dans le calme, je vous conseille de chercher une autre salle.",1,Anne Laurain,11,105,UGC Gobelin,fr
5,2024-09-29T20:42:41.726Z,,0,Maksym Barabash,0,0,UGC Gobelin,fr
5,2024-09-28T14:53:00.137Z,,0,Mohamed Diarra,53,210,UGC Gobelin,fr
5,2024-09-26T15:17:36.978Z,Cinema bien place salles confortables et un accueil souriant et très agréable,0,sylvie Philippe,57,0,UGC Gobelin,fr
1,2024-09-24T20:11:10.888Z,"Encore une fois le son de la pub est horriblement trop forte ! Je l ai déjà dénonce plusieurs fois,  et vous vous en fichez. Pas étonnant qu' il y ait de moins en moins clientèle, en tout cas chez vous.",1,Venus Prins,19,0,UGC Gobelin,fr
5,2024-09-24T16:29:53.701Z,Bine situé. Bonne programmation. Confortable,0,Calie Aulait,213,495,UGC Gobelin,fr
5,2024-09-13T11:42:02.952Z,"Petit UGC à la décoration attendrissante.

Salle propre, personnel agréable, rien à redire.",0,Andréa Golin,346,48,UGC Gobelin,fr
4,2024-09-10T16:49:39.590Z,,0,Jean Léon MAÎTRE,40,1,UGC Gobelin,fr
4,2024-09-08T23:08:27.976Z,,0,Bernd Sch.,10,0,UGC Gobelin,fr
4,2024-09-08T17:57:11.769Z,,0,Sylvie Rebibo,0,0,UGC Gobelin,fr
5,2024-09-08T09:02:29.999Z,,0,hamdi bouhanef,24,109,UGC Gobelin,fr
1,2024-09-03T19:42:17.371Z,"Fermé sans annonces à l'heure de la séance... Et puis marrant l'appel facturé 20 centimes la minute, j'avais déjà pas assez l'impression de m'être fait avoir.",3,Amédéo Maurat,57,5,UGC Gobelin,fr
3,2024-09-02T13:59:17.179Z,,0,Imed Eddine Amaïdia,2,0,UGC Gobelin,fr
4,2024-09-02T02:19:52.848Z,,0,Solène Lfvr,12,2,UGC Gobelin,fr
5,2024-08-30T18:54:03.082Z,"Bon cinéma, très propre.",0,Jenny Heartilly,20,3,UGC Gobelin,fr
1,2024-08-30T14:10:50.753Z,,0,Din,1,0,UGC Gobelin,fr
4,2024-08-28T18:21:28.829Z,,0,Sylvie Pardon,30,13,UGC Gobelin,fr
1,2024-08-28T11:46:37.245Z,"Bon hier j'ai été voir le film EMILIA PEREZ, au cinéma UGC GOBELINS et cours de seance j'ai senti quelque chose qui était dans mon cou , donc j'ai attrapé et c'était une punaises de lit à ma grande surprise.  Se matin j'ai essayé de joindre le cinéma et bien mission impossible.  C'était la salle  n° 5 au rang M 4",1,Marie France Selva,2,1,UGC Gobelin,fr
3,2024-08-28T11:41:07.956Z,"salles agréables ,fauteuils confortables ...mais niveau sonore , parfois insupportable !",1,Marie-Martine Lecot,1,0,UGC Gobelin,fr
