rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
2,2024-11-10T17:00:46.349Z,"Vieux cinéma, peu de place pour les jambes et cher",0,Constance M,57,0,UGC Ciné Cité Mondeville,fr
4,2023-05-07T17:38:20.703Z,,0,Michel.anne-marie Ménard,26,8,UGC Ciné Cité Mondeville,fr
5,2024-11-09T15:49:21.364Z,,0,Amandine Duquenne,31,7,UGC Ciné Cité Mondeville,fr
5,2024-11-07T11:43:41.616Z,,0,Angélique Houel,4,1,UGC Ciné Cité Mondeville,fr
5,2024-11-06T22:47:45.041Z,,0,Jacques Purenne,13,1,UGC Ciné Cité Mondeville,fr
5,2024-11-06T19:28:44.830Z,Beau cinéma,0,Evy Lyne,132,68,UGC Ciné Cité Mondeville,fr
4,2024-11-05T19:26:35.298Z,Super salle. Dommage les rangés sont un peu étroites pour les grands,0,Noel FROC,33,0,UGC Ciné Cité Mondeville,fr
5,2024-11-05T05:34:24.777Z,,0,Bernard LECHEVIN,9,6,UGC Ciné Cité Mondeville,fr
5,2021-07-21T19:23:44.154Z,"Bon accueil, bon service, bons films, bref on s'y sent bien.",0,Nicolas Viel,48,2,UGC Ciné Cité Mondeville,fr
5,2024-10-31T16:53:59.719Z,,0,aurélie guigui,11,2,UGC Ciné Cité Mondeville,fr
4,2024-10-30T23:59:40.984Z,,0,Paul-Henry Monteiro,6,0,UGC Ciné Cité Mondeville,fr
2,2024-10-30T17:07:22.312Z,Trop froid dans la salle numéro 5. Il faut arrêter la clim!!!!!,0,Aurelie Girard,2,0,UGC Ciné Cité Mondeville,fr
5,2024-10-29T13:25:39.885Z,,0,Morgane Turgis,23,0,UGC Ciné Cité Mondeville,fr
5,2024-10-29T11:43:54.103Z,Établissement propre 👍,0,Isa14 Barbanchon,13,25,UGC Ciné Cité Mondeville,fr
5,2024-10-27T15:40:25.564Z,,0,Patrice Garcia,0,0,UGC Ciné Cité Mondeville,fr
5,2017-12-16T18:53:49.215Z,"Un cinéma accueillant par le personnel agréable pour ce qui est des salles (propreté, fauteuil, son) parfaits",0,Nathalie Julien,141,356,UGC Ciné Cité Mondeville,fr
4,2024-10-26T18:22:52.331Z,,0,Angélique DUPOTY,25,7,UGC Ciné Cité Mondeville,fr
5,2024-10-25T20:54:04.701Z,,0,Severine Barette,12,0,UGC Ciné Cité Mondeville,fr
5,2024-10-23T12:07:37.171Z,,0,Veronique Thomasse,34,0,UGC Ciné Cité Mondeville,fr
5,2024-10-23T08:03:56.902Z,,0,Gloria,16,0,UGC Ciné Cité Mondeville,fr
4,2024-10-22T21:04:09.828Z,"Salle propre, sièges moyennement confortables et son très fort, tarif élevé",0,Loulou Wls,6,0,UGC Ciné Cité Mondeville,fr
5,2024-10-22T18:30:20.729Z,Salle spacieuse,0,Sandrine Clech,86,70,UGC Ciné Cité Mondeville,fr
5,2024-10-21T14:38:24.240Z,"Prix correct, très grand cinéma et personnel toujours accueillant",0,Brandon Santoni,79,0,UGC Ciné Cité Mondeville,fr
4,2018-03-20T15:37:19.407Z,"ciné facile d'accès et grand parking
Personnel sympatique",0,Lydie M,36,55,UGC Ciné Cité Mondeville,fr
5,2020-03-12T23:39:59.099Z,Superbe salle avant première Challenger avec Alban Ivanov Superbe film,0,LEMARQUAND Gilles,224,82,UGC Ciné Cité Mondeville,fr
4,2024-10-20T15:17:30.235Z,,0,Gianna Tiburzi,147,12,UGC Ciné Cité Mondeville,fr
5,2024-10-20T10:51:48.484Z,,0,Tom Douville,3,0,UGC Ciné Cité Mondeville,fr
4,2024-10-20T06:56:13.408Z,,0,fabienne durand,43,4,UGC Ciné Cité Mondeville,fr
4,2024-10-20T05:55:18.303Z,Très agréable,0,Marie Decaen,14,1,UGC Ciné Cité Mondeville,fr
4,2024-10-19T20:19:30.826Z,,0,Éric Boillée,2,0,UGC Ciné Cité Mondeville,fr
5,2024-10-19T15:53:42.228Z,"J'aime bien comme cinéma,  très grande salle , très propre,  parking gratuit.",0,Jean Moendzenahou,25,4,UGC Ciné Cité Mondeville,fr
4,2024-10-19T15:26:34.434Z,"Je mets 4 étoiles à ce cinéma. Les salles sont propres, tout comme les lieux en général, et le personnel est toujours accueillant. Il y a un bon choix de snacks, même si les prix sont un peu élevés. Je retire une étoile principalement pour les tarifs, qui sont vraiment trop hauts à mon goût. Mais dans l'ensemble, c'est une bonne expérience pour passer une soirée ciné agréable.",0,damien masson,23,22,UGC Ciné Cité Mondeville,fr
4,2017-09-07T20:43:55.469Z,Cinéma appréciable le plus c'est que l'on peut réserver nos sièges chose qu'on ne pouvait pas faire avant,0,Juju,29,0,UGC Ciné Cité Mondeville,fr
5,2024-10-18T07:54:05.802Z,"Caisse automatique  pour  billets d entrée  pratiques pas besoin faire la fille datent.
Salle de projection  bien.",0,lenoel catherine,8,0,UGC Ciné Cité Mondeville,fr
4,2024-10-15T17:01:17.116Z,"Très bons cinéma, seul petit hic, il serrait bien de créer une salle 4DX",0,El Loco,80,4,UGC Ciné Cité Mondeville,fr
4,2024-10-12T21:41:47.253Z,,0,sandrine RAUT,89,223,UGC Ciné Cité Mondeville,fr
5,2024-10-11T11:26:03.117Z,"Ce cinéma est très bien, les salles sont au même niveau que l entrée pour les personnes handicapées c est très appréciable. Le personnel est très agréable et le parking gratuit en face est vraiment bien.",0,Domi Ziegler,40,0,UGC Ciné Cité Mondeville,fr
5,2024-10-10T10:37:04.429Z,Super animateur,0,philippe deneux,105,1,UGC Ciné Cité Mondeville,fr
4,2024-10-09T09:50:13.725Z,,0,Ju & Ju,3,0,UGC Ciné Cité Mondeville,fr
5,2024-10-08T11:50:30.708Z,"Un beau cinéma, propre, accessible, la qualité de l'image et du son était au point, nous avons un bon moment.",0,Yann,81,6,UGC Ciné Cité Mondeville,fr
5,2018-05-13T07:01:01.153Z,,0,Nadine BRETONNIER,5,9,UGC Ciné Cité Mondeville,fr
4,2024-10-05T18:23:33.087Z,,0,Catherine Vanleynseele,14,0,UGC Ciné Cité Mondeville,fr
5,2024-10-04T20:55:45.741Z,,0,guillaume darricarrere burneau,5,14,UGC Ciné Cité Mondeville,fr
3,2024-10-04T11:01:39.859Z,,0,Sylvain Hurel,81,5,UGC Ciné Cité Mondeville,fr
1,2024-10-02T13:46:42.829Z,"Cela fait 4 ans que j’ai la carte ugc mais en fin d abonnement je ne renouvellerai pas. Les sièges sont vraiment usés et pas confortables . Il y a froid et odeur désagréable d’humidité et renfermée.la distante entre siège est trop petite.Le personnel est de plus en plus désagréable. Le bonjour n’est pas toujours la. Le sourire casi jamais. Je vais essayer au rive de l’Orne car j’en entends beaucoup de bien. Marre d être si mal reçu, mauvaise ambiance
Les films y restent trop de semaines donc pas beaucoup de renouvellement.",2,C M,67,133,UGC Ciné Cité Mondeville,fr
3,2018-06-04T08:09:23.380Z,Moquette usee,0,christian garnier,48,0,UGC Ciné Cité Mondeville,fr
5,2018-07-28T13:30:30.910Z,"Equipe au top, programmation très bien, salles presque parfaites si ce n'est l'accueil handi à améliorer...
Côté prix des places, nickel avec prix comité d'entreprise et carte UGC, sinon un peu cher en mode normal...
Côté formules pop corn, privilégier la réservation en ligne pour avoir des tarifs abordables...
Le programme fidélité permet aussi d'avoir régulièrement des places gratuites, un plus...",0,Cathie FONQUERNIE,52,4,UGC Ciné Cité Mondeville,fr
4,2024-10-01T12:14:16.529Z,,0,Laurent Regeard,82,18,UGC Ciné Cité Mondeville,fr
5,2024-03-13T15:32:29.945Z,"Très bon cinéma facile d'accès,  parking et geand choux dd films",0,Beauguitte chantal,62,7,UGC Ciné Cité Mondeville,fr
1,2024-09-30T13:52:51.592Z,J'ai été voir le film dans la salle 12 cet après midi. Quel horreur une puanteur dans la salle une odeur d'humidité vraiment noséabonde. Quand on voit le prix d'une séance vraiment honteux,1,Cédric,5,0,UGC Ciné Cité Mondeville,fr
3,2024-09-29T04:58:13.558Z,,0,Chrislem9,132,33,UGC Ciné Cité Mondeville,fr
5,2023-12-30T19:14:19.294Z,"Très bien, beaucoup de monde, le retour en salle fait du bien",0,nico H,111,27,UGC Ciné Cité Mondeville,fr
5,2024-09-28T20:21:40.602Z,Très bien juste trop de clim à mon goût,0,Morgan Duneveu,9,4,UGC Ciné Cité Mondeville,fr
5,2024-09-28T14:52:56.169Z,,0,Alain Douard,27,0,UGC Ciné Cité Mondeville,fr
1,2024-09-27T11:49:49.313Z,"Allez au cinéma des rives de l'Orne plutôt que à l'UGC.

13,50€ la place pour quel justificatif ?! Les sièges sont inconfortables et anciens. La mise en place de la salle fait que s'il y a une personne plus grande que vous devant, vous ne voyez rien. Et si vous êtes grand, vous-même, vous n'aurez aucune place pour mettre les jambes (même la classe éco d'un avion paraît plus spacieuse). Le personnel d'accueil/caisse est désagréable en prime. Aucune technologie moderne. Préféré donc payer 1€ de plus la place pour le cinéma de Caen avec de vrais sièges confortables, une bonne disposition de salle et technologie moderne.",1,Christie SDN,12,2,UGC Ciné Cité Mondeville,fr
4,2024-09-24T18:21:37.338Z,,0,alan car,9,1,UGC Ciné Cité Mondeville,fr
5,2024-09-21T15:07:54.462Z,"Facile à trouver, parking gratuit de la place pour se garer facilement. L’accueil est très bien éclairé. Très belle déco super ambiance. La caisse est facilement trouvable avec un mobilier en verre transparent gros fauteuil et table hyper confortable et très chic, salle de projection sympa, siège un peu raide, mais cela reste confortable. C’est un super ciné. Je le recommande fortement. Le personnel est super cool",0,Dj R'AN,35,0,UGC Ciné Cité Mondeville,fr
5,2024-09-20T14:12:56.799Z,,0,Arnaud Fournie,3,10,UGC Ciné Cité Mondeville,fr
5,2021-09-17T14:16:06.744Z,C'est toujours un plaisir d'aller là-bas le service il accueille ils sont toujours aussi excellents avec en plus le détail qui tue le petit décor qui va bien pour les films qui fonctionnent vraiment top je recommande fortement,0,Fabien Launay,231,696,UGC Ciné Cité Mondeville,fr
4,2024-09-16T18:35:42.568Z,,0,J-P Jack,2,0,UGC Ciné Cité Mondeville,fr
1,2024-09-15T09:05:52.784Z,Le son beaucoup trop fort !!!!! Surtout la pub !!! Horrible.,0,Manu Deneubourg,1,0,UGC Ciné Cité Mondeville,fr
4,2024-09-15T07:20:35.211Z,Des salles de grandes qualités mais un prix qui commence à poser problème.,0,Christian Maguet,103,190,UGC Ciné Cité Mondeville,fr
5,2024-09-12T15:52:44.628Z,Super cinéma super personnel et pratique avec pas mal de place de parking,0,orick ledruide,86,9,UGC Ciné Cité Mondeville,fr
