rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
5,2024-11-11T15:57:26.025Z,,0,Jules Baillet,10,2,UGC Ciné Cité SQY Ouest,fr
5,2024-11-11T10:51:47.584Z,,0,Mathis Abiven,0,0,UGC Ciné Cité SQY Ouest,fr
5,2024-11-11T09:19:47.434Z,,0,Pierre-Louis L,53,2,UGC Ciné Cité SQY Ouest,fr
2,2024-11-08T07:48:10.589Z,"Je sors de la salle n°1 frigorifée ! Après discussion avec un membre du personnel, clim défectueuse et obsolète, donc c'est comme ça, point barre, venez couverts la prochaine fois. Whaouuuu ! Quel professionnalisme !  Exactement le genre de reponse que lon adore ! Chiche la prochaine fois je viens avec ma couette ! Je trouve cela honteux au prix d'une place de cinéma ! C'est clair qu'à ce train là,  les gens vont finir par déserter aussi le cinema, déjà qu il ne reste plus grand chose d attrayant dans ce centre commercial ! Drôle de concept... Bref, allez plutôt à  P2 ou V2, les salles sont top et au moins on n en resort pas la goutte au nez.",0,Nadine Christos,15,2,UGC Ciné Cité SQY Ouest,fr
1,2024-11-08T06:26:15.562Z,"Hier soir vraiment déçu pas de box popcorn , de verre , d’affiche pour la sortie de l’événement du film concert de Mylène Farmer Nevermore ( vendu dans la semaine avant) 😤
Vraiment une honte ce cinéma UGC , personnels désagréables
Cinéma À FUIR",0,Marie-No-MK,1,0,UGC Ciné Cité SQY Ouest,fr
4,2024-11-07T10:50:31.688Z,Peu de personnel à la séance de 18h30 mais personnel efficace et très aimable. J'y retournerai,0,Danielle Javelot,14,0,UGC Ciné Cité SQY Ouest,fr
4,2024-11-06T13:27:04.377Z,Beaucoup de salles en bon état. Un peu d'attente aux caisses,0,virginie C,54,0,UGC Ciné Cité SQY Ouest,fr
2,2024-11-04T06:10:18.041Z,"Habituée à ce cinéma, confortable et agréable, je n'irai plus. Cela fait 2 fois que la climatisation souffle de l'air froid sur le public et c'est franchement très désagréable. Faut il venir au ciné en doudoune ? Je suis tombée malade à 2 reprises. Merci de faire quelque chose, le centre commercial Sqy Ouest se meurt.. et c'est bien dommage.",0,Cécile78 H,38,1,UGC Ciné Cité SQY Ouest,fr
1,2024-11-03T16:23:10.275Z,,0,Bertrand De Bohan,0,0,UGC Ciné Cité SQY Ouest,fr
1,2024-10-31T23:00:48.710Z,À fuir.. passez votre chemin,0,Jairo,22,27,UGC Ciné Cité SQY Ouest,fr
