rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
5,2024-11-10T11:20:13.500Z,,0,Sophie Lanista,12,0,UGC Créteil,fr
5,2024-11-09T23:51:32.416Z,,0,Benjamin Rey,82,17,UGC Créteil,fr
5,2024-11-08T17:48:24.416Z,,0,Catherine Daladouire,30,2,UGC Créteil,fr
1,2024-11-07T10:26:26.181Z,"Cinema très sale, nous n'avons même pas pu nous asseoir à nos places tellement les sièges étaient immondes ... heureusement que la salle n'était pas pleine et que nous avons pu nous installer ailleurs.",0,Julie Schwartz,18,0,UGC Créteil,fr
5,2024-11-07T05:41:49.377Z,,0,Nasatou NDIAYE,13,1,UGC Créteil,fr
4,2023-01-24T19:45:40.128Z,UGC propose toujours les dernières sorties de films  souvent enVO certains films sont également sont en français  projetés en grand écran. Aussi bien les blockbusters américains que des films d'Asie ou d'Inde...,4,E EDDY,42,267,UGC Créteil,fr
5,2024-11-06T15:11:03.180Z,,0,demure william,28,4,UGC Créteil,fr
4,2024-11-05T20:54:56.526Z,,0,Willem Marchand,25,3,UGC Créteil,fr
4,2024-11-05T17:39:41.686Z,Ayant la carte UGC illimité j'y suis très souvent. Les salles sont vraiment bien cependant petit bémol pour les sièges du milieu de la rangée du milieu. Ils sont très souvent dans un état lamentable et on ne peut pas s'asseoir dessus.,0,Kevin Morgenthaler (“Kryptonson”),12,3,UGC Créteil,fr
4,2024-11-05T12:01:06.257Z,"Beaucoup de salles et de films
Tous les goûts pourront trouver leur bonheur",0,Gaelle Guinvarch,468,996,UGC Créteil,fr
3,2024-11-05T07:40:05.407Z,La place entre les sièges est assez étroite mais le cinéma est propre et accueillant,0,Guy luxe,14,0,UGC Créteil,fr
1,2024-11-04T19:04:12.069Z,"Sale très sale ! Toutes les salles sont envahies par les pop cornes à acheter à l'entrée du cinéma (passage quasiment forcé), les escaliers, collés sur les sièges et par terre, on marche dedans !! Il y en a partout ! Par contre ils ne vous laisseront pas entrer avec une boisson achetée ailleurs même si vous payez presque 15€ par personne !! A éviter, je déconseille fortement👎...les UGC de Paris sont beaucoup beaucoup plus propres et plus accueillants.",0,Tania Taïna,8,0,UGC Créteil,fr
4,2024-11-04T07:24:26.500Z,Un UGC,0,Raphael Nordier,186,39,UGC Créteil,fr
3,2024-11-03T19:10:58.949Z,,0,marc D,287,4,UGC Créteil,fr
4,2024-11-02T06:28:06.943Z,,0,paul guerrero,7,0,UGC Créteil,fr
5,2024-11-02T06:27:52.494Z,,0,Christel MARECHAL,55,68,UGC Créteil,fr
4,2024-07-22T22:30:16.079Z,,0,hinda hennou,6,0,UGC Créteil,fr
3,2024-10-30T19:27:00.980Z,"Cinéma facile d'accès car bien desservi par les transports. Même si les salles ne sont pas au top du confort, il est quand même agréable d'avoir un large choix de films à disposition. J'y retoure toujours avec plaisir.",0,Thomas,180,4,UGC Créteil,fr
1,2024-10-30T15:09:09.133Z,"Bonjour, nous étions en salle 21. Les sièges sont défoncés. Nous étions penchés pendant tout le film. À la sortie, il n'y a aucune fleche pour indiquer comment retourner à l'accueil. Ce cinéma est à fuir.",0,Fred Iflo,110,49,UGC Créteil,fr
5,2024-10-29T21:34:38.052Z,,0,Ali Saouda,7,0,UGC Créteil,fr
1,2024-10-27T17:09:51.235Z,"Un film qui commence avec 25 min de retard sur l’heure dite. Autant de pub avec le son à donf comme si on était sourd. Aucun respect des spectateurs et pourtant la séance est à 14,50 euros. Et ensuite ça chiale parce que les gens viennent plus au cinéma",0,Fabrice Pouliquen,1,0,UGC Créteil,fr
1,2024-10-26T18:55:16.664Z,"Euh on en parle de la longueur des pubs ? J’arrive, le film devait commencer à 20h30 et c’est 21h tjrs une pub ?!! J’ai rdv au Bar Belge moi",0,Manon Delcurrou,2,0,UGC Créteil,fr
4,2024-10-26T15:04:22.696Z,,0,Normalisation Antinomique,7,0,UGC Créteil,fr
4,2024-10-26T08:01:27.773Z,,0,Saadia Mbae,11,0,UGC Créteil,fr
5,2024-10-26T07:49:59.978Z,,0,chantal rille,56,3,UGC Créteil,fr
4,2024-10-26T06:14:15.431Z,,0,keciri sonia,109,0,UGC Créteil,fr
