rating,date,review,likes,user_name,user_nb_reviews,user_nb_photos,cinéma,language
1,2024-11-10T19:41:11.119Z,"Je suis extrêmement déçu de mon expérience dans ce cinéma, surtout en raison de l'attitude du personnel. L'accueil a été glacial et le personnel semblait indifférent, voire désagréable, rendant l’expérience encore moins agréable. En plus de ça, les salles sont mal entretenues, avec des fauteuils inconfortables et une propreté qui laisse vraiment à désirer.",0,_. AYA,0,0,UGC Montparnasse,fr
5,2024-11-10T14:20:03.504Z,"À tous ceux qui, comme moi, se sentent comme des orphelins apatrides, depuis la fermeture de l'UGC Normandie.

Sachez que vous pouvez désormais, retrouver le confort incomparable, des fauteuils de cette Salle Mythique, à l'UGC Montparnasse, dans les Salles 2, 3 et 4.

Merci UGC pour ce recyclage, dont, certes, nous nous serions passé, mais qui permet de préserver, un peu, l'âme de la Salle Prestige de l'UGC Normandie, que nous avons tous tant aimée.",0,Marika Monginet,9,3,UGC Montparnasse,fr
1,2024-11-10T13:07:24.614Z,"Alors une fois rentrer dans la salle
la sortit es possible par le sens interdit pour acheter des friandises,pop corn,bonbon ou boisson encore faut t'il que l'on vous serve attendez 20 minute au risque de rater le début du film ou refaite la queue comme on me l'a exprimer ou es l'esprit du cinéma très déçu",0,didier objois,19,16,UGC Montparnasse,fr
5,2024-11-06T10:46:12.686Z,,0,alain heudes,58,3,UGC Montparnasse,fr
4,2024-11-02T21:02:11.365Z,Salles un peu anciennes,0,Pierre Y,1466,1520,UGC Montparnasse,fr
3,2024-11-01T21:35:15.101Z,,0,Sylvain Stempy,2,0,UGC Montparnasse,fr
2,2024-11-01T13:16:05.812Z,C'est un cinéma assez ancien.  Certaines salles sont trop petites et le tarif est beaucoup trop cher pour la salle 7 par exemple. Le son est bon et la programmation est classique.  L'accueil n'est pas très sympathique sans un sourire et juste un bonjour.,0,Fabriceファブリッス,268,7219,UGC Montparnasse,fr
5,2016-11-08T17:12:23.697Z,J'adore ce cinéma bonne programmation et personnel sympathique,0,Joseph Geffroy,503,1539,UGC Montparnasse,fr
5,2024-10-27T05:17:34.775Z,Belles salles et prix moins prohibitifs que ses voisines Pathé(tiques) juste à côté,0,ismael moullan,93,73,UGC Montparnasse,fr
1,2024-10-26T22:31:52.705Z,"Une chaleur insoutenable,
Une salle vieille en pente inclinée vers l’écran
Un son qui ne traduit pas une qualité cinématographique

Tout cela pour un film ( l’amour ouf) à 21h00 un samedi soir ….
Je n’ose imaginer les salles proposées en semaine en journée…

Ne recommande pas",0,Cristal De titane,3,0,UGC Montparnasse,fr
1,2024-10-26T10:25:41.218Z,"Avoid.
You can better watch a movie at UGC Chatelet.
UGC Montparnasse is ruining the experience because they have horrible seats that feel like you sat down on a flixbus journey all night and you have 2 hours left. Those last 2 hours is how you feel when you sit in these seats. It is very low, you sort of disappear in the seat with a lot of back pain and if you have somebody in front of you, your view will half be blocked as every row is on the same level.
The pain gets worse when you realize they have 30 min. commercials going on before the movie starts.

Never again.",0,Nayla H,111,77,UGC Montparnasse,fr
1,2024-10-26T09:18:39.434Z,"Salle 7 : facile top 3 des pires salles de l'hexagone. Une pente descendante qui va de l'écran au fond de salle (désagréable), sièges collés, mini. 30°C (on a failli partir, et des voisins aussi) écran qui doit faire 4-5 m de large, la cata complète. Ca nous a complètement ruiné le film.",0,T. (LeRitz),37,101,UGC Montparnasse,fr
4,2024-10-24T05:56:01.424Z,,0,Pauline Humily,18,5,UGC Montparnasse,fr
